date,batch_id,product_name,supplier,customer,quantity_produced,quantity_sold,stock_remaining,expiry_date,waste_quantity,defect_count,temperature,delivery_status,delivery_delay_days,revenue,feedback_text,rating
2026-01-16,BATCH-1000,Mixed Salad,Farm D,Supermarket A,1060,370,690,2026-01-22,102,18,2.6,Delivered,3,987.15,Late delivery and poor product freshness,3
2026-04-07,BATCH-1001,Lettuce,Farm B,Restaurant Group,969,443,526,2026-04-10,20,32,3.8,Delayed,0,1334.23,Fresh product and good packaging,3
2026-03-01,BATCH-1002,Lettuce,Farm D,Distributor X,2758,2147,611,2026-03-08,174,2,7.2,Delivered,0,6605.78,Excellent quality and fast delivery,4
2026-01-30,BATCH-1003,Spinach,Farm B,Supermarket A,2563,2161,402,2026-02-02,52,1,6.1,Delivered,3,4164.54,Late delivery and poor product freshness,3
2026-02-10,BATCH-1004,Lettuce,Farm B,Restaurant Group,2155,1685,470,2026-02-17,53,3,3.1,Delivered,1,7098.85,Excellent quality and fast delivery,2
2026-02-26,BATCH-1005,Lettuce,Farm A,Restaurant Group,1195,369,826,2026-03-07,81,23,4.1,Delayed,3,1254.39,Good quality but delivery delay,5
2026-04-14,BATCH-1006,Rucola,Farm D,Supermarket A,264,188,76,2026-04-19,7,23,2.1,Delivered,0,750.06,Delivery was late but product quality was acceptable,1
2026-04-24,BATCH-1007,Lettuce,Farm C,Supermarket A,2478,2188,290,2026-05-03,267,33,2.6,Delivered,2,8403.99,Spoiled leaves and bad smell reported,3
2026-03-16,BATCH-1008,Mixed Salad,Farm C,Supermarket A,2095,825,1270,2026-03-20,100,13,7.1,Delivered,1,1918.91,Packaging was damaged during transport,3
2026-04-20,BATCH-1009,Spinach,Farm B,Supermarket A,406,114,292,2026-04-24,31,38,4.9,Delivered,3,448.51,Spoiled leaves and bad smell reported,5
2026-04-14,BATCH-1010,Baby Leaf,Farm D,Distributor X,740,135,605,2026-04-18,85,27,7.6,Delivered,1,501.78,Clean product and satisfied customer,4
2026-04-01,BATCH-1011,Lettuce,Farm B,Restaurant Group,1843,1679,164,2026-04-05,127,27,4.1,Delayed,0,4117.69,Good quality but delivery delay,4
2026-02-11,BATCH-1012,Mixed Salad,Farm A,Restaurant Group,1968,1382,586,2026-02-17,224,23,7.7,Delayed,3,4582.39,Good quality but delivery delay,4
2026-01-06,BATCH-1013,Spinach,Farm D,Restaurant Group,2053,1620,433,2026-01-14,112,36,3.7,Delivered,2,5886.23,Excellent quality and fast delivery,4
2026-03-06,BATCH-1014,Rucola,Farm A,Distributor X,1054,835,219,2026-03-13,129,25,7.9,Delayed,2,3216.82,Late delivery and poor product freshness,3
2026-04-12,BATCH-1015,Baby Leaf,Farm D,Restaurant Group,966,393,573,2026-04-19,138,15,7.0,Delayed,2,846.06,Delivery was late but product quality was acceptable,4
2026-03-01,BATCH-1016,Mixed Salad,Farm C,Distributor X,2155,1469,686,2026-03-06,198,32,4.4,Delivered,1,6510.59,Good quality but delivery delay,1
2026-03-10,BATCH-1017,Spinach,Farm C,Distributor X,2398,1538,860,2026-03-15,143,25,7.9,Delayed,3,3711.04,Fresh product and good packaging,4
2026-02-19,BATCH-1018,Rucola,Farm A,Distributor X,1383,1114,269,2026-02-23,47,15,7.4,Delayed,1,4711.73,Late delivery and poor product freshness,4
2026-02-13,BATCH-1019,Lettuce,Farm B,Distributor X,1848,1543,305,2026-02-22,98,24,2.0,Delayed,1,5277.94,Clean product and satisfied customer,3
2026-02-08,BATCH-1020,Lettuce,Farm A,Restaurant Group,1156,260,896,2026-02-14,47,19,4.2,Delayed,2,1046.06,Fresh product and good packaging,4
2026-03-01,BATCH-1021,Baby Leaf,Farm C,Restaurant Group,669,474,195,2026-03-10,26,26,6.8,Delayed,0,1668.08,Fresh product and good packaging,5
2026-02-27,BATCH-1022,Lettuce,Farm C,Supermarket A,1015,758,257,2026-03-08,16,27,4.8,Delayed,0,3480.91,Good quality but delivery delay,5
2026-04-05,BATCH-1023,Baby Leaf,Farm C,Distributor X,2744,401,2343,2026-04-10,115,20,3.1,Delivered,3,1282.59,Excellent quality and fast delivery,1
2026-01-13,BATCH-1024,Spinach,Farm C,Restaurant Group,1958,665,1293,2026-01-22,113,31,6.0,Delivered,1,1589.07,Very fresh and reliable supplier,2
2026-01-29,BATCH-1025,Rucola,Farm A,Distributor X,984,203,781,2026-02-05,38,28,3.8,Delayed,2,486.54,Late delivery and poor product freshness,5
2026-02-28,BATCH-1026,Rucola,Farm D,Supermarket A,1729,1002,727,2026-03-05,141,11,7.3,Delivered,3,3533.08,Packaging was damaged during transport,3
2026-04-04,BATCH-1027,Baby Leaf,Farm B,Restaurant Group,774,289,485,2026-04-07,85,5,3.8,Delivered,3,763.91,Late delivery and poor product freshness,5
2026-02-28,BATCH-1028,Lettuce,Farm B,Supermarket A,204,202,2,2026-03-09,19,29,5.2,Delivered,3,816.35,Excellent quality and fast delivery,4
2026-01-13,BATCH-1029,Rucola,Farm D,Distributor X,1893,1782,111,2026-01-17,91,25,2.2,Delivered,1,7887.01,Good quality but delivery delay,4
